1,3D Crossword Plugin,application/vnd.hzn-3d-crossword,.x3d,IANA: 3D Crossword Plugin
2,3GP,video/3gpp,.3gp,Wikipedia: 3GP
3,3GP2,video/3gpp2,.3g2,Wikipedia: 3G2
4,3GPP MSEQ File,application/vnd.mseq,.mseq,IANA: 3GPP MSEQ File
5,3M Post It Notes,application/vnd.3m.post-it-notes,.pwn,IANA: 3M Post It Notes
6,3rd Generation Partnership Project - Pic Large,application/vnd.3gpp.pic-bw-large,.plb,3GPP
7,3rd Generation Partnership Project - Pic Small,application/vnd.3gpp.pic-bw-small,.psb,3GPP
8,3rd Generation Partnership Project - Pic Var,application/vnd.3gpp.pic-bw-var,.pvb,3GPP
9,3rd Generation Partnership Project - Transaction Capabilities Application Part,application/vnd.3gpp2.tcap,.tcap,3GPP
10,7-Zip,application/x-7z-compressed,.7z,Wikipedia: 7-Zip
11,AbiWord,application/x-abiword,.abw,Wikipedia: AbiWord
12,Ace Archive,application/x-ace-compressed,.ace,Wikipedia: ACE
13,Active Content Compression,application/vnd.americandynamics.acc,.acc,IANA: Active Content Compression
14,ACU Cobol,application/vnd.acucobol,.acu,IANA: ACU Cobol
15,ACU Cobol,application/vnd.acucorp,.atc,IANA: ACU Cobol
16,Adaptive differential pulse-code modulation,audio/adpcm,.adp,Wikipedia: ADPCM
17,Adobe (Macropedia) Authorware - Binary File,application/x-authorware-bin,.aab,Wikipedia: Authorware
18,Adobe (Macropedia) Authorware - Map,application/x-authorware-map,.aam,Wikipedia: Authorware
19,Adobe (Macropedia) Authorware - Segment File,application/x-authorware-seg,.aas,Wikipedia: Authorware
20,Adobe AIR Application,application/vnd.adobe.air-application-installer-package+zip,.air,Building AIR Applications
21,Adobe Flash,application/x-shockwave-flash,.swf,Wikipedia: Adobe Flash
22,Adobe Flex Project,application/vnd.adobe.fxp,.fxp,IANA: Adobe Flex Project
23,Adobe Portable Document Format,application/pdf,.pdf,Adobe PDF
24,Adobe PostScript Printer Description File Format,application/vnd.cups-ppd,.ppd,IANA: Cups
25,Adobe Shockwave Player,application/x-director,.dir,Wikipedia: Adobe Shockwave Player
26,Adobe XML Data Package,application/vnd.adobe.xdp+xml,.xdp,Wikipedia: XML Data Package
27,Adobe XML Forms Data Format,application/vnd.adobe.xfdf,.xfdf,Wikipedia: XML Portable Document Format
28,Advanced Audio Coding (AAC),audio/x-aac,.aac,Wikipedia: AAC
29,Ahead AIR Application,application/vnd.ahead.space,.ahead,IANA: Ahead AIR Application
30,AirZip FileSECURE,application/vnd.airzip.filesecure.azf,.azf,IANA: AirZip
31,AirZip FileSECURE,application/vnd.airzip.filesecure.azs,.azs,IANA: AirZip
32,Amazon Kindle eBook format,application/vnd.amazon.ebook,.azw,Kindle Direct Publishing
33,AmigaDE,application/vnd.amiga.ami,.ami,IANA: Amiga
34,Andrew Toolkit,application/andrew-inset,N/A,IANA - Andrew Inset
35,Android Package Archive,application/vnd.android.package-archive,.apk,Wikipedia: APK File Format
36,ANSER-WEB Terminal Client - Certificate Issue,application/vnd.anser-web-certificate-issue-initiation,.cii,IANA: ANSWER-WEB
37,ANSER-WEB Terminal Client - Web Funds Transfer,application/vnd.anser-web-funds-transfer-initiation,.fti,IANA: ANSWER-WEB
38,Antix Game Player,application/vnd.antix.game-component,.atx,IANA: Antix Game Component
39,Apple Disk Image,application/x-apple-diskimage,.dmg,Apple Disk Image
40,Apple Installer Package,application/vnd.apple.installer+xml,.mpkg,IANA: Apple Installer
41,Applixware,application/applixware,.aw,Vistasource
42,Archipelago Lesson Player,application/vnd.hhe.lesson-player,.les,IANA: Archipelago Lesson Player
43,Arista Networks Software Image,application/vnd.aristanetworks.swi,.swi,IANA: Arista Networks Software Image
44,Assembler Source File,text/x-asm,.s,Wikipedia: Assembly
45,Atom Publishing Protocol,application/atomcat+xml,.atomcat,RFC 5023
46,Atom Publishing Protocol Service Document,application/atomsvc+xml,.atomsvc,RFC 5023
47,Atom Syndication Format,application/atom+xml,".atom, .xml",RFC 4287
48,Attribute Certificate,application/pkix-attr-cert,.ac,RFC 5877
49,Audio Interchange File Format,audio/x-aiff,.aif,Wikipedia: Audio Interchange File Format
50,Audio Video Interleave (AVI),video/x-msvideo,.avi,Wikipedia: AVI
51,Audiograph,application/vnd.audiograph,.aep,IANA: Audiograph
52,AutoCAD DXF,image/vnd.dxf,.dxf,Wikipedia: AutoCAD DXF
53,Autodesk Design Web Format (DWF),model/vnd.dwf,.dwf,Wikipedia: Design Web Format
54,BAS Partitur Format,text/plain-bas,.par,Phonetik BAS
55,Binary CPIO Archive,application/x-bcpio,.bcpio,Wikipedia: cpio
56,Binary Data,application/octet-stream,.bin,
57,Bitmap Image File,image/bmp,.bmp,Wikipedia: BMP File Format
58,BitTorrent,application/x-bittorrent,.torrent,Wikipedia: BitTorrent
59,Blackberry COD File,application/vnd.rim.cod,.cod,
60,Blueice Research Multipass,application/vnd.blueice.multipass,.mpm,IANA: Multipass
61,BMI Drawing Data Interchange,application/vnd.bmi,.bmi,IANA: BMI
62,Bourne Shell Script,application/x-sh,.sh,Wikipedia: Bourne Shell
63,BTIF,image/prs.btif,.btif,IANA: BTIF
64,BusinessObjects,application/vnd.businessobjects,.rep,IANA: BusinessObjects
65,Bzip Archive,application/x-bzip,.bz,Wikipedia: Bzip
66,Bzip2 Archive,application/x-bzip2,.bz2,Wikipedia: Bzip
67,C Shell Script,application/x-csh,.csh,Wikipedia: C Shell
68,C Source File,text/x-c,.c,Wikipedia: C Programming Language
69,CambridgeSoft Chem Draw,application/vnd.chemdraw+xml,.cdxml,IANA: Chem Draw
70,Cascading Style Sheets (CSS),text/css,.css,Wikipedia: CSS
71,ChemDraw eXchange file,chemical/x-cdx,.cdx,ChemDraw eXchange file
72,Chemical Markup Language,chemical/x-cml,.cml,Wikipedia: Chemical Markup Language
73,Chemical Style Markup Language,chemical/x-csml,.csml,Wikipedia: Chemical Style Markup Language
74,CIM Database,application/vnd.contact.cmsg,.cdbcmsg,IANA: CIM Database
75,Claymore Data Files,application/vnd.claymore,.cla,IANA: Claymore
76,Clonk Game,application/vnd.clonk.c4group,.c4g,IANA: Clonk
77,Close Captioning - Subtitle,image/vnd.dvb.subtitle,.sub,Wikipedia: Closed Captioning
78,Cloud Data Management Interface (CDMI) - Capability,application/cdmi-capability,.cdmia,RFC 6208
79,Cloud Data Management Interface (CDMI) - Contaimer,application/cdmi-container,.cdmic,RFC 6209
80,Cloud Data Management Interface (CDMI) - Domain,application/cdmi-domain,.cdmid,RFC 6210
81,Cloud Data Management Interface (CDMI) - Object,application/cdmi-object,.cdmio,RFC 6211
82,Cloud Data Management Interface (CDMI) - Queue,application/cdmi-queue,.cdmiq,RFC 6212
83,ClueTrust CartoMobile - Config,application/vnd.cluetrust.cartomobile-config,.c11amc,IANA: CartoMobile
84,ClueTrust CartoMobile - Config Package,application/vnd.cluetrust.cartomobile-config-pkg,.c11amz,IANA: CartoMobile
85,CMU Image,image/x-cmu-raster,.ras,
86,COLLADA,model/vnd.collada+xml,.dae,IANA: COLLADA
87,Comma-Seperated Values,text/csv,.csv,Wikipedia: CSV
88,Compact Pro,application/mac-compactpro,.cpt,Compact Pro
89,Compiled Wireless Markup Language (WMLC),application/vnd.wap.wmlc,.wmlc,IANA: WMLC
90,Computer Graphics Metafile,image/cgm,.cgm,Wikipedia: Computer Graphics Metafile
91,CoolTalk,x-conference/x-cooltalk,.ice,Wikipedia: CoolTalk
92,Corel Metafile Exchange (CMX),image/x-cmx,.cmx,Wikipedia: CorelDRAW
93,CorelXARA,application/vnd.xara,.xar,IANA: CorelXARA
94,CosmoCaller,application/vnd.cosmocaller,.cmc,IANA: CosmoCaller
95,CPIO Archive,application/x-cpio,.cpio,Wikipedia: cpio
96,CrickSoftware - Clicker,application/vnd.crick.clicker,.clkx,IANA: Clicker
97,CrickSoftware - Clicker - Keyboard,application/vnd.crick.clicker.keyboard,.clkk,IANA: Clicker
98,CrickSoftware - Clicker - Palette,application/vnd.crick.clicker.palette,.clkp,IANA: Clicker
99,CrickSoftware - Clicker - Template,application/vnd.crick.clicker.template,.clkt,IANA: Clicker
100,CrickSoftware - Clicker - Wordbank,application/vnd.crick.clicker.wordbank,.clkw,IANA: Clicker
101,Critical Tools - PERT Chart EXPERT,application/vnd.criticaltools.wbs+xml,.wbs,IANA: Critical Tools
102,CryptoNote,application/vnd.rig.cryptonote,.cryptonote,IANA: CryptoNote
103,Crystallographic Interchange Format,chemical/x-cif,.cif,Crystallographic Interchange Format
104,CrystalMaker Data Format,chemical/x-cmdf,.cmdf,CrystalMaker Data Format
105,CU-SeeMe,application/cu-seeme,.cu,White Pine
106,CU-Writer,application/prs.cww,.cww,
107,Curl - Applet,text/vnd.curl,.curl,Curl Applet
108,Curl - Detached Applet,text/vnd.curl.dcurl,.dcurl,Curl Detached Applet
109,Curl - Manifest File,text/vnd.curl.mcurl,.mcurl,Curl Manifest File
110,Curl - Source Code,text/vnd.curl.scurl,.scurl,Curl Source Code
111,CURL Applet,application/vnd.curl.car,.car,IANA: CURL Applet
112,CURL Applet,application/vnd.curl.pcurl,.pcurl,IANA: CURL Applet
113,CustomMenu,application/vnd.yellowriver-custom-menu,.cmp,IANA: CustomMenu
114,Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+der,.dssc,RFC 5698
115,Data Structure for the Security Suitability of Cryptographic Algorithms,application/dssc+xml,.xdssc,RFC 5698
116,Debian Package,application/x-debian-package,.deb,Wikipedia: Debian Package
117,DECE Audio,audio/vnd.dece.audio,.uva,IANA: Dece Audio
118,DECE Graphic,image/vnd.dece.graphic,.uvi,IANA: DECE Graphic
119,DECE High Definition Video,video/vnd.dece.hd,.uvh,IANA: DECE HD Video
120,DECE Mobile Video,video/vnd.dece.mobile,.uvm,IANA: DECE Mobile Video
121,DECE MP4,video/vnd.uvvu.mp4,.uvu,IANA: DECE MP4
122,DECE PD Video,video/vnd.dece.pd,.uvp,IANA: DECE PD Video
123,DECE SD Video,video/vnd.dece.sd,.uvs,IANA: DECE SD Video
124,DECE Video,video/vnd.dece.video,.uvv,IANA: DECE Video
125,Device Independent File Format (DVI),application/x-dvi,.dvi,Wikipedia: DVI
126,Digital Siesmograph Networks - SEED Datafiles,application/vnd.fdsn.seed,.seed,IANA: SEED
127,Digital Talking Book,application/x-dtbook+xml,.dtb,Wikipedia: EPUB
128,Digital Talking Book - Resource File,application/x-dtbresource+xml,.res,Digital Talking Book
129,Digital Video Broadcasting,application/vnd.dvb.ait,.ait,IANA: Digital Video Broadcasting
130,Digital Video Broadcasting,application/vnd.dvb.service,.svc,IANA: Digital Video Broadcasting
131,Digital Winds Music,audio/vnd.digital-winds,.eol,IANA: Digital Winds
132,DjVu,image/vnd.djvu,.djvu,Wikipedia: DjVu
133,Document Type Definition,application/xml-dtd,.dtd,W3C DTD
134,Dolby Meridian Lossless Packing,application/vnd.dolby.mlp,.mlp,IANA: Dolby Meridian Lossless Packing
135,Doom Video Game,application/x-doom,.wad,Wikipedia: Doom WAD
136,DPGraph,application/vnd.dpgraph,.dpg,IANA: DPGraph
137,DRA Audio,audio/vnd.dra,.dra,IANA: DRA
138,DreamFactory,application/vnd.dreamfactory,.dfac,IANA: DreamFactory
139,DTS Audio,audio/vnd.dts,.dts,IANA: DTS
140,DTS High Definition Audio,audio/vnd.dts.hd,.dtshd,IANA: DTS HD
141,DWG Drawing,image/vnd.dwg,.dwg,Wikipedia: DWG
142,DynaGeo,application/vnd.dynageo,.geo,IANA: DynaGeo
143,ECMAScript,application/ecmascript,.es,ECMA-357
144,EcoWin Chart,application/vnd.ecowin.chart,.mag,IANA: EcoWin Chart
145,EDMICS 2000,image/vnd.fujixerox.edmics-mmr,.mmr,IANA: EDMICS 2000
146,EDMICS 2000,image/vnd.fujixerox.edmics-rlc,.rlc,IANA: EDMICS 2000
147,Efficient XML Interchange,application/exi,.exi,Efficient XML Interchange (EXI) Best Practices
148,EFI Proteus,application/vnd.proteus.magazine,.mgz,IANA: EFI Proteus
149,Electronic Publication,application/epub+zip,.epub,Wikipedia: EPUB
150,Email Message,message/rfc822,.eml,RFC 2822
151,Enliven Viewer,application/vnd.enliven,.nml,IANA: Enliven Viewer
152,Express by Infoseek,application/vnd.is-xpr,.xpr,IANA: Express by Infoseek
153,eXtended Image File Format (XIFF),image/vnd.xiff,.xif,IANA: XIFF
154,Extensible Forms Description Language,application/vnd.xfdl,.xfdl,IANA: Extensible Forms Description Language
155,Extensible MultiModal Annotation,application/emma+xml,.emma,EMMA: Extensible MultiModal Annotation markup language
156,EZPix Secure Photo Album,application/vnd.ezpix-album,.ez2,IANA: EZPix Secure Photo Album
157,EZPix Secure Photo Album,application/vnd.ezpix-package,.ez3,IANA: EZPix Secure Photo Album
158,FAST Search & Transfer ASA,image/vnd.fst,.fst,IANA: FAST Search & Transfer ASA
159,FAST Search & Transfer ASA,video/vnd.fvt,.fvt,IANA: FVT
160,FastBid Sheet,image/vnd.fastbidsheet,.fbs,IANA: FastBid Sheet
161,FCS Express Layout Link,application/vnd.denovo.fcselayout-link,.fe_launch,IANA: FCS Express Layout Link
162,Flash Video,video/x-f4v,.f4v,Wikipedia: Flash Video
163,Flash Video,video/x-flv,.flv,Wikipedia: Flash Video
164,FlashPix,image/vnd.fpx,.fpx,IANA: FPX
165,FlashPix,image/vnd.net-fpx,.npx,IANA: FPX
166,FLEXSTOR,text/vnd.fmi.flexstor,.flx,IANA: FLEXSTOR
167,FLI/FLC Animation Format,video/x-fli,.fli,FLI/FLC Animation Format
168,FluxTime Clip,application/vnd.fluxtime.clip,.ftc,IANA: FluxTime Clip
169,Forms Data Format,application/vnd.fdf,.fdf,IANA: Forms Data Format
170,Fortran Source File,text/x-fortran,.f,Wikipedia: Fortran
171,FrameMaker Interchange Format,application/vnd.mif,.mif,IANA: FrameMaker Interchange Format
172,FrameMaker Normal Format,application/vnd.framemaker,.fm,IANA: FrameMaker
173,FreeHand MX,image/x-freehand,.fh,Wikipedia: Macromedia Freehand
174,Friendly Software Corporation,application/vnd.fsc.weblaunch,.fsc,IANA: Friendly Software Corporation
175,Frogans Player,application/vnd.frogans.fnc,.fnc,IANA: Frogans Player
176,Frogans Player,application/vnd.frogans.ltf,.ltf,IANA: Frogans Player
177,Fujitsu - Xerox 2D CAD Data,application/vnd.fujixerox.ddd,.ddd,IANA: Fujitsu DDD
178,Fujitsu - Xerox DocuWorks,application/vnd.fujixerox.docuworks,.xdw,IANA: Docuworks
179,Fujitsu - Xerox DocuWorks Binder,application/vnd.fujixerox.docuworks.binder,.xbd,IANA: Docuworks Binder
180,Fujitsu Oasys,application/vnd.fujitsu.oasys,.oas,IANA: Fujitsu Oasys
181,Fujitsu Oasys,application/vnd.fujitsu.oasys2,.oa2,IANA: Fujitsu Oasys
182,Fujitsu Oasys,application/vnd.fujitsu.oasys3,.oa3,IANA: Fujitsu Oasys
183,Fujitsu Oasys,application/vnd.fujitsu.oasysgp,.fg5,IANA: Fujitsu Oasys
184,Fujitsu Oasys,application/vnd.fujitsu.oasysprs,.bh2,IANA: Fujitsu Oasys
185,FutureSplash Animator,application/x-futuresplash,.spl,Wikipedia: FutureSplash Animator
186,FuzzySheet,application/vnd.fuzzysheet,.fzs,IANA: FuzySheet
187,G3 Fax Image,image/g3fax,.g3,Wikipedia: G3 Fax Image
188,GameMaker ActiveX,application/vnd.gmx,.gmx,IANA: GameMaker ActiveX
189,Gen-Trix Studio,model/vnd.gtw,.gtw,IANA: GTW
190,Genomatix Tuxedo Framework,application/vnd.genomatix.tuxedo,.txd,IANA: Genomatix Tuxedo Framework
191,GeoGebra,application/vnd.geogebra.file,.ggb,IANA: GeoGebra
192,GeoGebra,application/vnd.geogebra.tool,.ggt,IANA: GeoGebra
193,Geometric Description Language (GDL),model/vnd.gdl,.gdl,IANA: GDL
194,GeoMetry Explorer,application/vnd.geometry-explorer,.gex,IANA: GeoMetry Explorer
195,GEONExT and JSXGraph,application/vnd.geonext,.gxt,IANA: GEONExT and JSXGraph
196,GeoplanW,application/vnd.geoplan,.g2w,IANA: GeoplanW
197,GeospacW,application/vnd.geospace,.g3w,IANA: GeospacW
198,Ghostscript Font,application/x-font-ghostscript,.gsf,Wikipedia: Ghostscript
199,Glyph Bitmap Distribution Format,application/x-font-bdf,.bdf,Wikipedia: Glyph Bitmap Distribution Format
200,GNU Tar Files,application/x-gtar,.gtar,GNU Tar
201,GNU Texinfo Document,application/x-texinfo,.texinfo,Wikipedia: Texinfo
202,Gnumeric,application/x-gnumeric,.gnumeric,Wikipedia: Gnumeric
203,Google Earth - KML,application/vnd.google-earth.kml+xml,.kml,IANA: Google Earth
204,Google Earth - Zipped KML,application/vnd.google-earth.kmz,.kmz,IANA: Google Earth
205,GrafEq,application/vnd.grafeq,.gqf,IANA: GrafEq
206,Graphics Interchange Format,image/gif,.gif,Wikipedia: Graphics Interchange Format
207,Graphviz,text/vnd.graphviz,.gv,IANA: Graphviz
208,Groove - Account,application/vnd.groove-account,.gac,IANA: Groove
209,Groove - Help,application/vnd.groove-help,.ghf,IANA: Groove
210,Groove - Identity Message,application/vnd.groove-identity-message,.gim,IANA: Groove
211,Groove - Injector,application/vnd.groove-injector,.grv,IANA: Groove
212,Groove - Tool Message,application/vnd.groove-tool-message,.gtm,IANA: Groove
213,Groove - Tool Template,application/vnd.groove-tool-template,.tpl,IANA: Groove
214,Groove - Vcard,application/vnd.groove-vcard,.vcg,IANA: Groove
215,H.261,video/h261,.h261,Wikipedia: H.261
216,H.263,video/h263,.h263,Wikipedia: H.263
217,H.264,video/h264,.h264,Wikipedia: H.264
218,Hewlett Packard Instant Delivery,application/vnd.hp-hpid,.hpid,IANA: Hewlett Packard Instant Delivery
219,Hewlett-Packard's WebPrintSmart,application/vnd.hp-hps,.hps,IANA: Hewlett-Packard's WebPrintSmart
220,Hierarchical Data Format,application/x-hdf,.hdf,Wikipedia: Hierarchical Data Format
221,Hit'n'Mix,audio/vnd.rip,.rip,IANA: Hit'n'Mix
222,Homebanking Computer Interface (HBCI),application/vnd.hbci,.hbci,IANA: HBCI
223,HP Indigo Digital Press - Job Layout Languate,application/vnd.hp-jlyt,.jlt,IANA: HP Job Layout Language
224,HP Printer Command Language,application/vnd.hp-pcl,.pcl,IANA: HP Printer Command Language
225,HP-GL/2 and HP RTL,application/vnd.hp-hpgl,.hpgl,IANA: HP-GL/2 and HP RTL
226,HV Script,application/vnd.yamaha.hv-script,.hvs,IANA: HV Script
227,HV Voice Dictionary,application/vnd.yamaha.hv-dic,.hvd,IANA: HV Voice Dictionary
228,HV Voice Parameter,application/vnd.yamaha.hv-voice,.hvp,IANA: HV Voice Parameter
229,Hydrostatix Master Suite,application/vnd.hydrostatix.sof-data,.sfd-hdstx,IANA: Hydrostatix Master Suite
230,Hyperstudio,application/hyperstudio,.stk,IANA - Hyperstudio
231,Hypertext Application Language,application/vnd.hal+xml,.hal,IANA: HAL
232,HyperText Markup Language (HTML),text/html,.html,Wikipedia: HTML
233,IBM DB2 Rights Manager,application/vnd.ibm.rights-management,.irm,IANA: IBM DB2 Rights Manager
234,IBM Electronic Media Management System - Secure Container,application/vnd.ibm.secure-container,.sc,IANA: EMMS
235,iCalendar,text/calendar,.ics,Wikipedia: iCalendar
236,ICC profile,application/vnd.iccprofile,.icc,IANA: ICC profile
237,Icon Image,image/x-icon,.ico,Wikipedia: ICO File Format
238,igLoader,application/vnd.igloader,.igl,IANA: igLoader
239,Image Exchange Format,image/ief,.ief,RFC 1314
240,ImmerVision PURE Players,application/vnd.immervision-ivp,.ivp,IANA: ImmerVision PURE Players
241,ImmerVision PURE Players,application/vnd.immervision-ivu,.ivu,IANA: ImmerVision PURE Players
242,IMS Networks,application/reginfo+xml,.rif,
243,In3D - 3DML,text/vnd.in3d.3dml,.3dml,IANA: In3D
244,In3D - 3DML,text/vnd.in3d.spot,.spot,IANA: In3D
245,Initial Graphics Exchange Specification (IGES),model/iges,.igs,Wikipedia: IGES
